feature,importance
cycle_ratio,0.9453929578926634
sensor_7_rolling_avg,0.00649835555590997
sensor_2_rolling_avg,0.006010003698154637
sensor_2_rolling_std,0.005521400737771395
sensor_12_rolling_std,0.005161836933502555
sensor_12_rolling_avg,0.005034318662995834
sensor_11_rolling_avg,0.004993990265743832
sensor_7_rolling_std,0.004974430202256291
sensor_11_rolling_std,0.00423395004825324
sensor_14,0.0038388533696061024
sensor_9,0.002449003732452204
sensor_15,0.0008128288015169812
sensor_4,0.0008089109818041238
sensor_3,0.0007621772038919055
sensor_21,0.0007099246572314245
op_setting_1,0.000630079470258979
sensor_20,0.0005770873832675032
sensor_8,0.0005103229787888222
sensor_13,0.0005063162378353276
op_setting_2,0.00040546223367766385
sensor_17,0.00016778895241779327
op_setting_3,0.0
